"n","replications","empirical_atom","atom_mcse","theoretical_atom","q10","q25","theoretical_q10","theoretical_q25"
500,40000,0.50215,0.00249997688739316,0.5,-1.2817755623384,-0.665146340486213,-1.2815515655446,-0.674489750196082
1000,40000,0.4989,0.00249999394999268,0.5,-1.29373753598101,-0.681379707411752,-1.2815515655446,-0.674489750196082
