"scenario_id","family","n","rho","true_radius","complete_replications","raw_target_mean","raw_target_mean_mcse","raw_target_bias","raw_target_bias_mcse","projected_target_mean","projected_target_mean_mcse"
"linear_iid_n500","gaussian",500,0,3.16227766016838,1000,3.16955763386575,0.00624486737762802,0.00727997369737364,0.00624486737762802,3.16955763386575,0.00624486737762802
"linear_iid_n1000","gaussian",1000,0,3.16227766016838,1000,3.15751710752694,0.00420188657623803,-0.00476055264143989,0.00420188657623803,3.15751710752694,0.00420188657623803
"logistic_iid_n500","binomial",500,0,3.16227766016838,1000,3.43283456255225,0.0188287387362213,0.27055690238387,0.0188287387362213,3.43283456255225,0.0188287387362213
"logistic_iid_n1000","binomial",1000,0,3.16227766016838,1000,3.30727925517966,0.0114037834703861,0.14500159501128,0.0114037834703861,3.30727925517966,0.0114037834703861
"linear_ar1_n500","gaussian",500,0.5,3.97778651691695,1000,3.98710090181072,0.00828713822926094,0.00931438489376776,0.00828713822926094,3.98710090181072,0.00828713822926094
"linear_ar1_n1000","gaussian",1000,0.5,3.97778651691695,1000,3.97481416013904,0.00575683180745439,-0.00297235677790925,0.00575683180745439,3.97481416013904,0.00575683180745439
"logistic_ar1_n500","binomial",500,0.5,3.97778651691695,1000,4.28242544023404,0.0240663650364237,0.304638923317086,0.0240663650364237,4.28242544023404,0.0240663650364237
"logistic_ar1_n1000","binomial",1000,0.5,3.97778651691695,1000,4.17445766325646,0.0145870151453903,0.196671146339507,0.0145870151453903,4.17445766325646,0.0145870151453903
"poisson_iid_n500","poisson",500,0,3.16227766016838,1000,3.17071646777318,0.004645276693813,0.00843880760480085,0.004645276693813,3.17071646777318,0.004645276693813
"poisson_iid_n1000","poisson",1000,0,3.16227766016838,1000,3.16371327148111,0.00318934798874504,0.00143561131272852,0.00318934798874504,3.16371327148111,0.00318934798874504
