"scenario_id","family","n","rho","lhs_method","rhs_method","comparison","paired_replications","fp_difference","fp_difference_mcse","fn_difference","fn_difference_mcse","fpr_difference","fpr_difference_mcse","fnr_difference","fnr_difference_mcse","exact_difference","exact_difference_mcse","wrong_difference","wrong_difference_mcse","signed_attained_radius_error_difference","signed_attained_radius_error_difference_mcse","test_deviance_difference","test_deviance_difference_mcse","selected_grid_radius_difference","selected_grid_radius_difference_mcse","attained_radius_difference","attained_radius_difference_mcse","relative_test_deviance_difference","relative_test_deviance_difference_mcse"
"linear_iid_n500","gaussian",500,0,"PanIC-CF","CV-min","PanIC-CF minus CV-min",1000,-0.744,0.0465470797218322,0,0,-0.0744,0.00465470797218322,0,0,0,0,-0.744,0.0465470797218322,-0.0871666666666667,0.00434021616572888,0.000250222906935949,0.000153518424110024,-0.0871666666666669,0.00434021616572887,-0.0871666666666669,0.00434021616572887,0.000251900173999188,0.000146805589138985
"linear_iid_n2000","gaussian",2000,0,"PanIC-CF","CV-min","PanIC-CF minus CV-min",1000,-0.478,0.0572432772715962,0,0,-0.0478,0.00572432772715962,0,0,0.002,0.002,-0.478,0.0572432772715962,-0.0293205985325853,0.00280121171167193,0.000108813853477088,4.95334498104265e-05,-0.0293333333333332,0.00280528918744624,-0.0293205985325852,0.00280121171167191,0.00011100665249607,4.92316544722354e-05
"logistic_iid_n500","binomial",500,0,"PanIC-CF","CV-min","PanIC-CF minus CV-min",1000,-0.176,0.0434616257509187,-0.004,0.0052926375288708,-0.0176,0.00434616257509188,-4e-04,0.000529263752887085,-0.001,0.00100000000000001,-0.18,0.0428653407479452,-0.0605,0.0101364714575223,0.000497776640528491,0.000133653734421575,-0.0605000000000003,0.0101364714575223,-0.0605000000000003,0.0101364714575223,0.00040940968102862,0.000107422561234567
"logistic_iid_n2000","binomial",2000,0,"PanIC-CF","CV-min","PanIC-CF minus CV-min",1000,-0.23,0.0409729029820779,0,0,-0.023,0.00409729029820781,0,0,0.001,0.00100000000000001,-0.23,0.0409729029820779,-0.0446666666666666,0.00468142002721918,-5.53191094383418e-05,3.36260680527623e-05,-0.0446666666666666,0.0046814200272192,-0.0446666666666666,0.0046814200272192,-4.33401142657819e-05,2.77517802172559e-05
"linear_ar1_n1000","gaussian",1000,0.5,"PanIC-CF","CV-min","PanIC-CF minus CV-min",1000,-0.727,0.0493650474314358,0,0,-0.0727,0.00493650474314357,0,0,0.003,0.00173031615434693,-0.727,0.0493650474314358,-0.0684665695880402,0.00408276126544832,0.000280375034587121,7.84096193767702e-05,-0.0684999999999998,0.00408479456738879,-0.0684665695880399,0.00408276126544832,0.000277471534847303,7.65194833431034e-05
"logistic_ar1_n1000","binomial",1000,0.5,"PanIC-CF","CV-min","PanIC-CF minus CV-min",1000,-0.158,0.0386591584301898,0,0,-0.0158,0.003865915843019,0,0,0,0,-0.158,0.0386591584301898,-0.0511666666666666,0.00816692542473084,4.98922166148072e-05,5.61210909896957e-05,-0.0511666666666669,0.00816692542473086,-0.051166666666667,0.00816692542473086,4.4018242352498e-05,4.59825415563454e-05
"poisson_iid_n1000","poisson",1000,0,"PanIC-CF","CV-min","PanIC-CF minus CV-min",1000,-0.55,0.0546121093026302,0,0,-0.055,0.0054612109302631,0,0,0.004,0.00199699473909873,-0.55,0.0546121093026302,-0.0340696656171497,0.0027611822876596,6.67066689719912e-05,0.000101160113678973,-0.0341666666666665,0.00276511126082282,-0.0340696656171495,0.00276118228765958,6.92179664261213e-05,9.3779780536885e-05
