"family","n","method","attempted_replications","failures","mean","se","median","minimum","maximum","paths_fitted","unregularised_sign_fits","unregularised_validation_fits"
"gaussian",1000,"PanIC-CF",20,0,0.0456999999999999,0.00021884866196097,0.0449999999999999,0.0449999999999999,0.048,11,10,10
"gaussian",1000,"CV",20,0,0.02535,0.000166622801245027,0.0250000000000004,0.0249999999999995,0.0280000000000005,6,0,0
"gaussian",1000,"BIC-like",20,0,0.00454999999999997,0.000114132886537905,0.00499999999999989,0.00399999999999956,0.00500000000000078,1,0,0
"binomial",1000,"PanIC-CF",20,0,0.16065,0.00224461343524543,0.158,0.151999999999999,0.199,11,10,10
"binomial",1000,"CV",20,0,0.0969999999999999,0.000606976978666879,0.0969999999999995,0.0920000000000005,0.101000000000001,6,0,0
"binomial",1000,"BIC-like",20,0,0.0180000000000001,0.000162221421130759,0.0180000000000007,0.0169999999999995,0.0190000000000001,1,0,0
"poisson",1000,"PanIC-CF",20,0,0.1534,0.000930195225689003,0.153,0.146999999999998,0.164999999999999,11,10,10
"poisson",1000,"CV",20,0,0.0860500000000003,0.000595929172760883,0.0850000000000009,0.0829999999999984,0.0920000000000023,6,0,0
"poisson",1000,"BIC-like",20,0,0.0160499999999998,0.000184604841129479,0.0159999999999982,0.014999999999997,0.0180000000000007,1,0,0
