"n","b","b_over_n","random_subsamples","beta_full","atom_at_zero","q10","q25","cdf_minus_1","cdf_minus_0_5","cdf_minus_0_1","cdf_plus_0_1","theoretical_cdf_minus_1","theoretical_cdf_minus_0_5","theoretical_cdf_minus_0_1","theoretical_cdf_plus_0_1"
1000,50,0.05,10000,1,0.5775,-1.10368707842772,-0.476402795916696,0.1185,0.2427,0.3848,1,0.158655253931457,0.308537538725987,0.460172162722971,1
1000,100,0.1,10000,1,0.6162,-0.974529955504383,-0.380259742466744,0.0958,0.2127,0.3492,1,0.158655253931457,0.308537538725987,0.460172162722971,1
1000,200,0.2,10000,1,0.6731,-0.800935473872596,-0.217262812635743,0.0705,0.1692,0.2915,1,0.158655253931457,0.308537538725987,0.460172162722971,1
