"scenario_id","family","n","rho"
"linear_iid_n500","gaussian",500,0
"linear_iid_n1000","gaussian",1000,0
"logistic_iid_n500","binomial",500,0
"logistic_iid_n1000","binomial",1000,0
"linear_ar1_n500","gaussian",500,0.5
"linear_ar1_n1000","gaussian",1000,0.5
"logistic_ar1_n500","binomial",500,0.5
"logistic_ar1_n1000","binomial",1000,0.5
"poisson_iid_n500","poisson",500,0
"poisson_iid_n1000","poisson",1000,0
